symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
MOTHERSON.NS,2018-08-27,2018-09-04,stop,55.3358,54.2610,5,-5.37
ADANIPORTS.NS,2018-08-24,2018-09-05,stop,385.7928,372.3138,7,-94.35
TITAN.NS,2018-09-03,2018-09-05,stop,896.8500,875.1000,9,-195.75
PIDILITIND.NS,2018-09-06,2018-09-12,stop,572.7862,554.7475,1,-18.04
PNB.NS,2018-09-17,2018-09-18,stop,83.3417,82.0090,1,-1.33
BHARTIARTL.NS,2018-09-07,2018-09-19,stop,337.8700,331.5869,1,-6.28
BAJAJHLDNG.NS,2018-09-05,2018-09-21,stop,3051.5250,2992.6030,11,-648.14
ICICIBANK.NS,2018-09-21,2018-09-24,stop,324.8624,316.8000,4,-32.25
PIDILITIND.NS,2018-09-21,2018-09-24,stop,571.9108,553.8729,55,-992.08
SAIL.NS,2018-09-21,2018-09-24,stop,79.4397,76.0000,2,-6.88
GAIL.NS,2018-09-19,2018-09-25,stop,126.1630,124.1379,3,-6.08
COALINDIA.NS,2018-09-25,2018-09-26,stop,284.1420,275.5122,1,-8.63
TATASTEEL.NS,2018-09-26,2018-10-01,stop,60.9305,57.4713,8,-27.67
RELIANCE.NS,2018-09-25,2018-10-03,stop,567.1240,550.3815,56,-937.58
CIPLA.NS,2018-10-03,2018-10-04,stop,659.3295,643.1783,7,-113.06
ONGC.NS,2018-09-14,2018-10-04,stop,170.8854,166.1169,3,-14.31
VEDL.NS,2018-10-03,2018-10-08,stop,234.2171,225.3373,112,-994.54
DRREDDY.NS,2018-10-11,2018-10-12,stop,503.0614,490.9544,61,-738.53
WIPRO.NS,2018-10-15,2018-10-23,stop,120.0413,116.0045,247,-997.08
WIPRO.NS,2018-10-29,2018-11-05,stop,120.9980,118.1625,239,-677.68
WIPRO.NS,2018-11-07,2018-11-09,stop,122.6301,120.3523,85,-193.61
HINDALCO.NS,2018-11-05,2018-11-12,stop,244.8223,231.2343,73,-991.93
WIPRO.NS,2018-11-15,2018-11-20,stop,122.9490,120.3148,220,-579.51
SBILIFE.NS,2018-12-06,2018-12-07,stop,575.2875,564.7175,46,-486.22
CANBK.NS,2018-12-11,2018-12-18,target,49.2646,54.2296,8,39.72
IDFCFIRSTB.NS,2018-12-12,2018-12-19,target,36.9685,42.5000,1,5.53
GAIL.NS,2018-12-18,2018-12-21,stop,118.5259,116.8082,1,-1.72
WIPRO.NS,2018-12-27,2019-01-04,stop,123.9995,120.4648,2,-7.07
PETRONET.NS,2018-12-18,2019-01-08,stop,225.9129,216.5000,1,-9.41
AXISBANK.NS,2018-12-11,2019-01-09,target,609.8048,671.9331,42,2609.39
INDUSINDBK.NS,2019-01-09,2019-01-11,stop,1588.7940,1550.2245,5,-192.85
LTF.NS,2019-01-07,2019-01-11,stop,136.5625,132.1961,1,-4.37
BPCL.NS,2019-01-11,2019-01-14,stop,169.4597,166.4168,47,-143.02
HDFCLIFE.NS,2019-01-09,2019-01-15,stop,396.1980,389.0054,2,-14.39
GODREJCP.NS,2019-01-14,2019-01-22,stop,783.9500,768.6655,10,-152.85
BPCL.NS,2019-01-15,2019-01-24,target,169.9349,179.5374,4,38.41
HAVELLS.NS,2019-01-22,2019-01-25,target,689.3445,722.7154,11,367.08
DRREDDY.NS,2019-01-24,2019-01-28,stop,532.2660,525.7370,1,-6.53
GODREJCP.NS,2019-01-25,2019-01-28,stop,795.3975,775.7619,10,-196.36
PETRONET.NS,2019-01-22,2019-02-04,stop,220.8604,216.1419,1,-4.72
PFC.NS,2019-02-01,2019-02-05,stop,83.5618,79.9200,1,-3.64
PFC.NS,2019-02-07,2019-02-11,stop,82.6813,80.0400,1,-2.64
NESTLEIND.NS,2019-01-09,2019-02-12,stop,562.2810,534.2328,35,-981.69
HDFCBANK.NS,2019-02-12,2019-02-15,stop,536.5056,526.3991,35,-353.73
ASIANPAINT.NS,2019-01-29,2019-02-18,stop,1391.6955,1366.1666,6,-153.17
DRREDDY.NS,2019-02-18,2019-02-19,stop,535.2575,516.7900,49,-904.91
KOTAKBANK.NS,2019-02-05,2019-02-22,stop,255.2000,248.8755,1,-6.32
IDFCFIRSTB.NS,2019-02-22,2019-02-26,stop,45.4727,44.7776,7,-4.87
PFC.NS,2019-02-19,2019-03-05,target,84.0820,92.0723,305,2437.04
INDUSTOWER.NS,2019-03-06,2019-03-11,target,297.1485,317.0785,36,717.48
DABUR.NS,2019-03-11,2019-03-12,target,435.7678,453.9089,26,471.67
DABUR.NS,2019-03-12,2019-03-15,stop,448.0000,432.4837,26,-403.42
KOTAKBANK.NS,2019-03-14,2019-03-18,target,254.5272,268.6410,1,14.11
BAJFINANCE.NS,2019-02-27,2019-03-19,target,267.9339,296.1575,1,28.22
CIPLA.NS,2019-03-18,2019-03-22,stop,535.6677,528.6855,1,-6.98
CIPLA.NS,2019-03-22,2019-03-25,stop,535.0674,525.6000,1,-9.47
TECHM.NS,2019-03-15,2019-03-26,stop,795.3975,774.6125,14,-290.99
CIPLA.NS,2019-03-27,2019-03-28,stop,532.7663,525.3000,21,-156.79
IDFCFIRSTB.NS,2019-03-05,2019-04-01,target,47.9000,56.8113,360,3208.08
HINDPETRO.NS,2019-04-10,2019-04-23,stop,172.0860,164.6176,2,-14.94
MOTHERSON.NS,2019-04-16,2019-04-23,stop,42.5399,40.8255,1,-1.71
PETRONET.NS,2019-04-24,2019-05-03,stop,237.7188,233.5831,1,-4.14
TATASTEEL.NS,2019-05-07,2019-05-08,stop,54.4950,52.7186,5,-8.88
IOC.NS,2019-04-25,2019-05-09,stop,102.8180,100.2499,1,-2.57
PETRONET.NS,2019-05-08,2019-05-09,stop,239.1195,234.4327,1,-4.69
MARICO.NS,2019-05-10,2019-05-13,stop,357.6287,349.9749,1,-7.65
ITC.NS,2019-05-13,2019-05-14,stop,290.2714,280.2083,1,-10.06
