symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
BHARTIARTL.NS,2023-11-13,2023-11-21,target,938.4690,968.2496,57,1664.89
TITAN.NS,2023-08-17,2023-11-21,target,3070.5182,3383.9487,6,1868.97
MARUTI.NS,2023-11-21,2023-11-22,stop,10624.3095,10488.6539,7,-993.93
HINDUNILVR.NS,2023-11-23,2023-11-28,stop,2526.7749,2501.4966,14,-375.01
TATACONSUM.NS,2023-10-27,2023-11-30,target,887.8372,942.3253,1,53.94
HINDUNILVR.NS,2023-11-28,2023-12-01,target,2533.0159,2571.7964,13,484.24
GAIL.NS,2023-11-10,2023-12-01,target,125.9258,136.3799,2,20.75
BEL.NS,2023-11-29,2023-12-07,target,142.2922,161.7191,15,290.04
HINDUNILVR.NS,2023-12-01,2023-12-07,stop,2557.0551,2513.6344,13,-584.25
CIPLA.NS,2023-12-08,2023-12-11,stop,1226.2253,1195.8033,28,-872.16
IRFC.NS,2023-12-08,2023-12-12,target,76.7267,84.4078,15,114.49
MANKIND.NS,2023-12-14,2023-12-15,stop,1880.8795,1846.2025,18,-644.31
ONGC.NS,2023-10-31,2023-12-20,target,189.3892,205.9457,1,16.44
DRREDDY.NS,2023-12-18,2023-12-21,stop,1124.1233,1107.2919,1,-17.50
HINDUNILVR.NS,2023-12-15,2023-12-28,target,2527.3255,2616.1496,13,1134.65
PNB.NS,2023-11-30,2023-12-28,target,79.6796,93.8644,13,183.73
IDEA.NS,2023-12-28,2023-12-29,target,13.5135,14.5962,2623,2817.73
SHRIRAMFIN.NS,2023-12-22,2024-01-16,target,409.9897,464.7675,3,163.55
JSWSTEEL.NS,2024-01-16,2024-01-17,stop,831.6310,820.4290,1,-11.70
BAJAJFINSV.NS,2023-11-22,2024-01-17,stop,1622.2711,1580.0188,24,-1037.11
IDFCFIRSTB.NS,2024-01-17,2024-01-18,stop,89.6896,85.1574,309,-1416.67
DABUR.NS,2023-12-29,2024-01-23,stop,546.2959,533.8158,70,-896.29
M&M.NS,2024-01-19,2024-01-23,stop,1642.5413,1614.4843,5,-145.17
AXISBANK.NS,2024-01-19,2024-01-24,stop,1116.1153,1034.2826,26,-2144.42
DABUR.NS,2024-01-23,2024-01-24,stop,544.6722,525.4871,68,-1326.42
HINDALCO.NS,2024-01-23,2024-01-24,stop,561.5611,549.7250,15,-182.54
TATASTEEL.NS,2024-01-23,2024-01-24,stop,134.8674,130.1349,1,-4.81
POWERGRID.NS,2024-01-19,2024-02-01,target,235.9358,270.2657,2,68.36
GMRAIRPORT.NS,2024-01-25,2024-02-05,target,76.6766,87.3574,35,372.11
DRREDDY.NS,2024-01-24,2024-02-06,target,1151.9511,1233.8818,41,3329.81
M&M.NS,2024-02-05,2024-02-09,stop,1688.7375,1648.3504,1,-41.39
ULTRACEMCO.NS,2024-02-07,2024-02-09,stop,10119.0570,9910.3820,4,-858.74
HINDALCO.NS,2024-02-07,2024-02-13,stop,590.6952,538.7305,19,-993.77
PFC.NS,2024-02-14,2024-02-21,stop,435.6854,412.5372,1,-23.40
JIOFIN.NS,2024-02-01,2024-02-23,target,254.6545,305.6471,2,101.65
VEDL.NS,2024-02-21,2024-02-26,stop,273.4733,266.8330,1,-6.80
TVSMOTOR.NS,2024-02-12,2024-03-01,target,2048.0465,2194.0661,20,2894.94
TATASTEEL.NS,2024-02-14,2024-03-04,target,138.3883,154.8225,1,16.35
GMRAIRPORT.NS,2024-03-04,2024-03-06,stop,86.3932,84.1658,8,-18.23
ICICIPRULI.NS,2024-02-29,2024-03-06,target,530.9306,568.6191,1,37.36
TATAPOWER.NS,2024-03-01,2024-03-07,target,375.7378,413.5950,77,2896.77
INDIGO.NS,2024-03-11,2024-03-12,target,3129.8274,3297.4271,1,165.67
RECLTD.NS,2024-03-06,2024-03-13,stop,471.2355,457.3423,2,-28.34
TCS.NS,2024-03-07,2024-03-21,stop,4076.0730,3954.4925,7,-867.93
ADANIGREEN.NS,2024-03-21,2024-03-27,stop,1863.8124,1811.0376,14,-754.28
BPCL.NS,2024-03-27,2024-04-05,stop,302.6513,292.3824,84,-877.58
NESTLEIND.NS,2024-03-21,2024-04-08,stop,1278.7778,1247.7763,1,-31.76
ONGC.NS,2024-04-09,2024-04-12,stop,272.1720,266.2336,6,-36.60
COALINDIA.NS,2024-04-12,2024-04-15,stop,459.0587,441.6580,3,-53.01
VBL.NS,2024-03-15,2024-04-15,stop,570.5701,541.1384,8,-238.12
ONGC.NS,2024-04-15,2024-04-16,target,273.4733,288.3166,21,308.17
BHARTIARTL.NS,2024-03-01,2024-04-18,target,1139.0882,1278.1190,13,1797.97
ICICIGI.NS,2024-01-24,2024-04-18,target,1503.5024,1741.8691,14,3323.50
HAVELLS.NS,2024-04-18,2024-04-19,stop,1520.5194,1471.5139,16,-798.45
LODHA.NS,2024-04-05,2024-04-23,target,1150.5750,1261.8606,21,2321.80
RELIANCE.NS,2024-04-23,2024-04-24,stop,1487.4864,1457.8910,18,-548.62
BHEL.NS,2024-03-22,2024-04-25,target,238.1880,273.5725,1,35.23
SHRIRAMFIN.NS,2024-04-25,2024-04-26,stop,496.8365,483.1165,3,-42.04
PIDILITIND.NS,2024-04-24,2024-05-02,target,1467.5084,1554.0667,17,1456.08
ADANIPORTS.NS,2024-05-02,2024-05-03,stop,1335.9850,1314.9341,19,-415.08
ADANIPORTS.NS,2024-05-03,2024-05-06,stop,1353.6765,1305.2438,19,-935.38
AMBUJACEM.NS,2024-04-22,2024-05-06,stop,616.3080,600.4491,38,-616.51
BAJFINANCE.NS,2024-05-06,2024-05-07,stop,701.1454,681.5130,51,-1022.41
ZYDUSLIFE.NS,2024-05-07,2024-05-09,stop,1029.5145,971.1281,17,-1002.77
ONGC.NS,2024-04-16,2024-05-09,stop,283.2330,266.8330,21,-347.87
ICICIGI.NS,2024-05-08,2024-05-09,stop,1721.6703,1665.0837,17,-979.25
SHRIRAMFIN.NS,2024-04-26,2024-05-09,stop,502.7512,483.9657,3,-57.24
ICICIGI.NS,2024-05-09,2024-05-10,stop,1729.5783,1663.1680,16,-1078.85
