symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
TATASTEEL.NS,2021-02-08,2021-04-01,target,69.4347,83.0078,10,135.27
SIEMENS.NS,2021-04-01,2021-04-05,stop,1092.7349,1064.4562,36,-1041.33
MOTHERSON.NS,2021-04-07,2021-04-12,stop,58.0893,55.2711,291,-829.99
APOLLOHOSP.NS,2021-04-05,2021-04-22,target,2973.8715,3316.6062,9,3067.63
VEDL.NS,2021-04-15,2021-04-28,target,221.6608,246.1419,72,1752.54
ADANIPORTS.NS,2021-04-28,2021-04-30,stop,758.2577,726.6228,23,-737.85
CHOLAFIN.NS,2021-04-23,2021-05-10,stop,559.7594,532.7169,37,-1012.70
UPL.NS,2021-05-04,2021-05-10,target,621.6212,662.3331,27,1088.82
ASIANPAINT.NS,2021-05-12,2021-05-14,target,2578.2885,2713.2693,14,1867.51
AMBUJACEM.NS,2021-04-26,2021-05-19,target,299.0989,322.9220,30,709.10
APOLLOHOSP.NS,2021-06-01,2021-06-03,target,3191.5950,3411.7814,7,1527.44
ADANIPORTS.NS,2021-06-01,2021-06-07,target,785.6851,895.6876,31,3394.44
SUNPHARMA.NS,2021-06-09,2021-06-17,stop,681.3905,664.4350,60,-1041.55
IDFCFIRSTB.NS,2021-06-22,2021-06-29,stop,59.2796,56.0939,1,-3.22
GAIL.NS,2021-06-22,2021-06-30,stop,104.7190,100.7325,2,-8.10
MOTHERSON.NS,2021-06-29,2021-07-06,stop,65.8564,64.3328,1,-1.56
NMDC.NS,2021-06-21,2021-07-06,stop,46.5494,43.8675,383,-1037.53
ONGC.NS,2021-07-02,2021-07-08,stop,120.0600,117.1827,1,-2.95
TATASTEEL.NS,2021-07-06,2021-07-12,target,116.2962,125.6074,1,9.24
DLF.NS,2021-07-06,2021-07-16,target,294.8474,330.4952,57,2021.23
SHRIRAMFIN.NS,2021-07-16,2021-07-19,stop,293.2931,282.9668,65,-682.44
ZYDUSLIFE.NS,2021-06-21,2021-07-27,stop,626.8264,602.9965,42,-1016.35
ICICIBANK.NS,2021-07-22,2021-08-04,target,657.5571,698.8833,28,1145.74
TATACONSUM.NS,2021-08-02,2021-08-17,target,763.3815,823.4066,1,59.55
TITAN.NS,2021-07-27,2021-08-17,target,1738.5873,1871.7714,3,396.30
GODREJPROP.NS,2021-08-12,2021-08-20,stop,1565.7146,1492.6062,12,-888.31
TATACOMM.NS,2021-08-20,2021-08-23,stop,1441.2902,1366.6323,13,-981.50
BAJFINANCE.NS,2021-07-27,2021-08-31,target,625.0246,739.4688,30,3421.05
TATACOMM.NS,2021-08-25,2021-09-02,stop,1416.4154,1370.0788,17,-801.93
BEL.NS,2021-08-26,2021-09-03,target,60.2435,64.1817,10,39.01
INDUSINDBK.NS,2021-06-21,2021-09-16,target,1000.8000,1142.4580,9,1269.13
DLF.NS,2021-09-02,2021-09-23,target,335.3351,391.2417,61,3397.01
SUNPHARMA.NS,2021-09-23,2021-09-24,stop,774.7742,763.7357,30,-345.00
AMBUJACEM.NS,2021-09-24,2021-09-27,stop,423.2730,411.7940,55,-645.12
INFY.NS,2021-09-21,2021-09-28,stop,1709.4081,1676.2724,21,-717.18
SUNPHARMA.NS,2021-09-28,2021-09-30,target,777.4269,830.5906,63,3318.92
ICICIBANK.NS,2021-09-30,2021-10-01,stop,712.6621,692.6535,10,-204.30
WIPRO.NS,2021-10-05,2021-10-06,stop,322.1219,317.6571,1,-4.66
JUBLFOOD.NS,2021-09-30,2021-10-06,stop,825.9253,787.5718,26,-1009.78
ADANIPORTS.NS,2021-10-04,2021-10-14,target,739.2194,797.6505,9,521.73
WIPRO.NS,2021-10-06,2021-10-14,target,325.3626,352.8965,1,27.33
ASIANPAINT.NS,2021-10-06,2021-10-19,stop,3263.6310,3188.4591,6,-462.65
TECHM.NS,2021-10-14,2021-10-19,target,1448.4474,1551.7119,5,511.82
HCLTECH.NS,2021-10-20,2021-10-21,stop,1254.2533,1223.7753,21,-655.65
AXISBANK.NS,2021-10-06,2021-10-25,target,784.7842,831.4976,1,46.23
BEL.NS,2021-10-27,2021-10-28,stop,69.1524,66.9663,2,-4.45
MARICO.NS,2021-10-27,2021-10-29,stop,566.6162,556.5430,3,-31.23
SBICARD.NS,2021-10-22,2021-10-29,stop,1118.1173,1081.9673,23,-846.63
LODHA.NS,2021-11-01,2021-11-16,target,554.3289,658.3346,33,3420.18
INDUSTOWER.NS,2021-11-16,2021-11-17,stop,297.1970,290.2595,73,-519.30
IDFCFIRSTB.NS,2021-11-01,2021-11-22,stop,50.6006,47.8521,166,-461.15
SUNPHARMA.NS,2021-09-30,2021-11-22,stop,820.5700,770.5788,20,-1009.37
INDUSTOWER.NS,2021-11-22,2021-11-23,stop,298.5483,289.7101,115,-1036.69
CHOLAFIN.NS,2021-09-30,2021-11-26,stop,578.4280,543.5560,28,-985.84
HINDPETRO.NS,2021-11-24,2021-11-26,stop,213.8470,208.9908,87,-433.52
DMART.NS,2021-12-01,2021-12-06,stop,4804.8012,4656.3402,6,-907.80
BAJAJHLDNG.NS,2021-11-23,2021-12-09,target,4972.4189,5552.8336,5,2886.29
DMART.NS,2021-12-09,2021-12-17,stop,4846.8432,4703.4932,7,-1023.51
LT.NS,2021-12-15,2021-12-17,stop,1875.8745,1844.3542,11,-359.00
TATAPOWER.NS,2021-12-02,2021-12-17,stop,230.5652,214.7851,19,-302.36
SONACOMS.NS,2022-01-03,2022-01-06,stop,749.4489,721.2782,35,-1001.42
BIOCON.NS,2022-01-04,2022-01-07,stop,367.9176,358.6411,39,-370.29
HAVELLS.NS,2022-01-07,2022-01-10,stop,1394.7437,1368.9301,4,-106.57
ADANIENT.NS,2022-01-07,2022-01-17,target,1725.5743,1898.5862,19,3266.57
SONACOMS.NS,2022-01-11,2022-01-20,stop,748.5480,733.1663,8,-126.61
GMRAIRPORT.NS,2022-01-31,2022-02-14,stop,41.5415,40.1099,519,-755.74
ABB.NS,2021-12-22,2022-02-14,stop,2222.2206,2093.9525,8,-1036.50
POWERGRID.NS,2022-01-21,2022-02-14,stop,161.6740,153.8960,129,-1015.58
YESBANK.NS,2022-02-08,2022-02-14,stop,14.1642,13.6863,2,-0.97
SBIN.NS,2022-02-16,2022-02-22,stop,527.3770,496.6030,32,-994.60
AUBANK.NS,2022-02-23,2022-02-24,stop,637.3185,612.4870,11,-277.27
EICHERMOT.NS,2022-02-22,2022-02-24,stop,2721.5696,2628.9849,18,-1695.42
ONGC.NS,2022-03-07,2022-03-15,stop,171.9718,162.7371,109,-1017.53
HAL.NS,2022-03-16,2022-04-04,target,703.7032,773.5534,48,3331.54
BANKBARODA.NS,2022-03-23,2022-04-07,target,107.5575,121.6370,33,462.36
HINDALCO.NS,2022-04-04,2022-04-12,stop,577.5771,560.8887,60,-1021.80
COALINDIA.NS,2022-03-02,2022-04-20,target,171.0855,203.4116,94,3028.09
DLF.NS,2022-05-04,2022-05-05,stop,372.0718,348.8255,2,-46.93
VEDL.NS,2022-05-04,2022-05-06,stop,412.2060,364.8175,77,-3666.86
INDUSINDBK.NS,2022-04-04,2022-05-06,stop,975.4875,918.5405,2,-115.03
TRENT.NS,2022-05-04,2022-05-06,stop,1233.0821,1191.4040,20,-848.11
GAIL.NS,2022-05-05,2022-05-09,stop,106.8401,103.8960,7,-21.05
HAL.NS,2022-05-12,2022-05-13,stop,786.6110,758.3161,35,-1006.54
AUBANK.NS,2022-05-18,2022-05-19,stop,664.8322,627.1863,1,-38.03
HAVELLS.NS,2022-05-17,2022-05-19,stop,1257.5567,1204.7943,11,-588.51
NTPC.NS,2022-05-18,2022-05-19,stop,150.9008,146.1537,2,-9.67
BEL.NS,2022-05-23,2022-05-24,stop,79.5295,73.2967,3,-18.84
POLYCAB.NS,2022-05-20,2022-05-25,stop,2552.5506,2479.5186,1,-74.54
BAJAJ-AUTO.NS,2022-05-20,2022-06-02,stop,3781.7789,3676.3709,3,-322.94
NTPC.NS,2022-06-08,2022-06-13,stop,157.8577,153.3465,13,-59.86
ADANIENT.NS,2022-06-03,2022-06-13,stop,2236.1175,2148.2500,4,-356.73
ABB.NS,2022-06-14,2022-06-16,stop,2356.6549,2249.7486,4,-433.15
ASHOKLEY.NS,2022-06-15,2022-06-16,stop,67.4424,65.2347,18,-40.45
