symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
JSWSTEEL.NS,2024-01-11,2024-01-17,stop,834.8000,810.7944,1,-24.01
BAJAJFINSV.NS,2023-11-22,2024-01-17,stop,1621.4603,1580.8092,24,-975.63
HINDZINC.NS,2024-01-15,2024-01-18,stop,319.3096,310.8445,106,-897.30
IDFCFIRSTB.NS,2024-01-17,2024-01-18,stop,89.6448,85.2000,313,-1391.22
JSWENERGY.NS,2024-01-05,2024-01-19,target,428.5000,489.2324,8,485.86
HINDUNILVR.NS,2024-01-16,2024-01-23,stop,2580.0394,2451.0000,11,-1419.43
M&M.NS,2024-01-19,2024-01-23,stop,1641.7205,1615.2919,27,-713.57
SBILIFE.NS,2023-12-22,2024-01-23,stop,1414.0000,1379.2600,2,-69.48
AXISBANK.NS,2024-01-19,2024-01-24,stop,1115.5575,1034.8000,27,-2180.45
HINDALCO.NS,2024-01-23,2024-01-24,stop,561.2805,550.0000,130,-1466.46
TATASTEEL.NS,2024-01-23,2024-01-24,stop,134.8000,130.2000,2,-9.20
TVSMOTOR.NS,2024-01-25,2024-01-29,stop,2055.0000,1941.0000,2,-228.00
GODREJCP.NS,2024-01-19,2024-02-01,target,1116.4079,1261.1179,1,144.71
POWERGRID.NS,2024-01-19,2024-02-01,target,235.8178,270.4009,1,34.58
ADANIENSOL.NS,2024-01-29,2024-02-05,stop,1085.0000,1037.4810,1,-47.52
GMRAIRPORT.NS,2024-01-25,2024-02-05,target,76.6383,87.4011,325,3497.93
TATASTEEL.NS,2024-01-30,2024-02-05,target,135.6000,142.5882,1,6.99
BRITANNIA.NS,2024-02-05,2024-02-06,stop,5222.6100,5029.2341,5,-966.88
DRREDDY.NS,2024-01-24,2024-02-06,target,1151.3754,1234.4991,42,3491.19
GRASIM.NS,2024-01-29,2024-02-08,stop,2095.0470,2051.3239,1,-43.72
TRENT.NS,2024-02-07,2024-02-08,target,3122.9606,3735.3501,1,612.39
BANKBARODA.NS,2024-01-25,2024-02-09,target,229.1145,262.6247,6,201.06
GRASIM.NS,2024-02-08,2024-02-09,stop,2123.0000,2057.2500,1,-65.75
M&M.NS,2024-02-05,2024-02-09,stop,1687.8936,1649.1750,2,-77.44
ULTRACEMCO.NS,2024-02-07,2024-02-09,stop,10114.0000,9915.3397,5,-993.30
HINDALCO.NS,2024-01-29,2024-02-13,stop,570.2850,539.0000,1,-31.28
M&M.NS,2024-02-13,2024-02-14,stop,1675.8876,1631.0000,27,-1211.96
RECLTD.NS,2024-02-14,2024-02-22,stop,468.4841,445.7770,44,-999.11
BEL.NS,2024-02-16,2024-02-23,target,189.0000,199.9887,3,32.97
JIOFIN.NS,2024-02-01,2024-02-23,target,254.5272,305.8000,6,307.64
MANKIND.NS,2024-02-07,2024-02-26,stop,2118.0000,2034.5822,11,-917.60
TECHM.NS,2024-02-23,2024-02-26,stop,1338.9000,1298.7003,2,-80.40
BHARTIARTL.NS,2024-02-28,2024-02-29,stop,1133.4000,1100.7494,22,-718.31
TATASTEEL.NS,2024-02-14,2024-03-04,target,138.3191,154.9000,233,3863.34
GMRAIRPORT.NS,2024-03-04,2024-03-06,stop,86.3500,84.2079,418,-895.41
ICICIPRULI.NS,2024-02-29,2024-03-06,target,530.6652,568.9035,46,1758.96
NESTLEIND.NS,2024-02-22,2024-03-06,stop,1280.0000,1258.4454,15,-323.32
RECLTD.NS,2024-03-06,2024-03-13,stop,471.0000,457.5711,74,-993.74
TITAN.NS,2024-03-07,2024-03-13,stop,3816.9075,3700.8486,3,-348.18
TATACONSUM.NS,2024-03-15,2024-03-19,stop,1205.6526,1159.4700,21,-969.83
ONGC.NS,2024-03-19,2024-03-20,stop,263.1815,257.4212,92,-529.95
TCS.NS,2024-03-07,2024-03-21,stop,4074.0360,3956.4707,8,-940.52
ADANIGREEN.NS,2024-03-21,2024-03-27,stop,1862.8809,1811.9436,19,-967.81
BPCL.NS,2024-03-27,2024-04-05,stop,302.5000,292.1289,96,-995.63
DRREDDY.NS,2024-04-05,2024-04-08,stop,1257.1182,1230.9642,22,-575.39
NESTLEIND.NS,2024-03-21,2024-04-08,stop,1278.1387,1248.4005,15,-446.07
ONGC.NS,2024-04-09,2024-04-12,stop,272.0359,266.3668,5,-28.35
ADANIENT.NS,2024-04-08,2024-04-15,stop,3240.9500,3150.0000,6,-545.70
ADANIGREEN.NS,2024-04-08,2024-04-15,stop,1948.0500,1801.0000,13,-1911.65
COALINDIA.NS,2024-04-12,2024-04-15,stop,458.8293,441.8790,3,-50.85
RELIANCE.NS,2024-03-27,2024-04-15,stop,1460.7300,1446.6263,3,-42.31
VBL.NS,2024-03-15,2024-04-15,stop,570.2850,541.4092,34,-981.78
ONGC.NS,2024-04-15,2024-04-16,target,273.3366,288.4608,231,3493.68
COALINDIA.NS,2024-04-16,2024-04-18,stop,456.0279,440.8795,56,-848.31
ICICIGI.NS,2024-01-24,2024-04-18,target,1502.7510,1742.7405,14,3359.85
COALINDIA.NS,2024-04-18,2024-04-19,stop,456.6282,436.0000,54,-1113.92
HAVELLS.NS,2024-04-18,2024-04-19,stop,1519.7595,1472.2500,5,-237.55
HDFCLIFE.NS,2024-04-18,2024-04-19,stop,618.0000,600.0000,1,-18.00
ICICIBANK.NS,2024-02-14,2024-04-25,target,1027.5636,1124.7367,6,583.04
LT.NS,2024-04-25,2024-04-26,stop,3656.7774,3599.2995,1,-57.48
SHRIRAMFIN.NS,2024-04-25,2024-04-26,stop,496.5882,483.3582,6,-79.38
BAJFINANCE.NS,2024-04-22,2024-04-26,stop,716.7300,680.6645,27,-973.77
MOTHERSON.NS,2024-03-27,2024-04-26,target,78.5726,87.0101,13,109.69
DLF.NS,2024-04-26,2024-04-29,stop,898.6491,885.0573,21,-285.43
TATAPOWER.NS,2024-03-22,2024-04-30,target,394.6472,451.6501,2,114.01
ADANIPORTS.NS,2024-05-02,2024-05-03,stop,1335.3173,1315.5919,1,-19.73
ADANIPORTS.NS,2024-05-03,2024-05-06,stop,1353.0000,1305.8968,1,-47.10
AMBUJACEM.NS,2024-04-16,2024-05-07,stop,615.9078,593.1533,43,-978.44
PNB.NS,2024-04-22,2024-05-07,stop,130.8000,125.1874,1,-5.61
ZYDUSLIFE.NS,2024-05-07,2024-05-09,stop,1029.0000,971.6139,17,-975.56
ONGC.NS,2024-04-16,2024-05-09,stop,283.0915,266.9665,62,-999.75
ICICIGI.NS,2024-05-08,2024-05-09,stop,1720.8099,1665.9166,5,-274.47
JSWSTEEL.NS,2024-04-22,2024-05-09,stop,867.7336,832.7834,14,-489.30
SHRIRAMFIN.NS,2024-04-26,2024-05-09,stop,502.5000,484.2078,13,-237.80
ICICIGI.NS,2024-05-09,2024-05-10,stop,1728.7139,1664.0000,14,-905.99
ZYDUSLIFE.NS,2024-05-09,2024-05-10,stop,1007.7536,970.0000,17,-641.81
VBL.NS,2024-04-29,2024-05-13,stop,588.2940,568.9354,32,-619.48
ADANIPOWER.NS,2024-05-09,2024-05-15,target,117.8800,128.5347,160,1704.75
BAJAJ-AUTO.NS,2024-05-10,2024-05-16,stop,9011.9539,8781.9564,1,-230.00
COALINDIA.NS,2024-05-13,2024-05-21,target,451.3756,491.0855,1,39.71
ZYDUSLIFE.NS,2024-05-13,2024-05-21,target,991.2000,1121.1000,18,2338.20
ETERNAL.NS,2024-05-16,2024-05-24,stop,193.4967,183.0584,48,-501.04
BOSCHLTD.NS,2024-05-10,2024-05-31,stop,30563.1743,29593.0457,1,-970.13
AMBUJACEM.NS,2024-05-21,2024-06-03,target,622.4611,668.0000,13,592.01
GAIL.NS,2024-05-30,2024-06-03,target,201.4007,217.0000,2,31.20
LT.NS,2024-05-31,2024-06-03,target,3645.7719,3855.3999,8,1677.02
NHPC.NS,2024-05-14,2024-06-03,target,95.5477,118.0000,1,22.45
ASIANPAINT.NS,2024-06-03,2024-06-04,stop,2950.0000,2862.5680,4,-349.73
BAJAJ-AUTO.NS,2024-06-03,2024-06-04,stop,9180.0000,8898.2986,3,-845.10
CANBK.NS,2024-03-18,2024-06-04,stop,110.9855,105.7671,14,-73.06
