symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
HCLTECH.NS,2018-03-16,2018-03-19,stop,488.2440,474.2628,25,-349.53
HDFCLIFE.NS,2018-02-07,2018-03-23,stop,443.0000,416.8415,38,-994.02
MOTHERSON.NS,2018-05-14,2018-05-18,stop,62.4612,59.9138,1,-2.55
ASHOKLEY.NS,2018-05-18,2018-05-21,stop,77.5500,73.9750,1,-3.58
SAIL.NS,2018-05-30,2018-06-01,stop,77.1385,74.7626,1,-2.38
SAIL.NS,2018-06-07,2018-06-11,target,77.8000,85.8560,1,8.06
GODREJCP.NS,2018-03-23,2018-06-26,target,725.3292,789.3191,22,1407.78
ASIANPAINT.NS,2018-06-27,2018-06-28,stop,1280.4899,1252.3735,13,-365.51
SAIL.NS,2018-07-09,2018-07-11,stop,82.0000,77.9610,1,-4.04
ASIANPAINT.NS,2018-07-03,2018-07-23,target,1298.6000,1432.4019,13,1739.43
GAIL.NS,2018-07-03,2018-07-30,target,114.4739,127.2348,1,12.76
TORNTPHARM.NS,2018-07-23,2018-07-31,target,718.1089,755.6035,26,974.86
M&M.NS,2018-07-31,2018-08-02,stop,935.4675,911.5940,21,-501.34
IOC.NS,2018-08-02,2018-08-10,stop,113.3333,109.6785,170,-621.33
SAIL.NS,2018-08-10,2018-08-13,stop,81.2906,77.7000,33,-118.49
HCLTECH.NS,2018-08-13,2018-08-16,target,484.1419,505.9505,5,109.04
IDFCFIRSTB.NS,2018-08-06,2018-08-17,target,41.6000,46.1133,1,4.51
BRITANNIA.NS,2018-08-10,2018-08-20,target,3181.5000,3334.5000,5,765.00
RBLBANK.NS,2018-08-16,2018-08-21,target,568.5341,599.3836,4,123.40
DRREDDY.NS,2018-08-16,2018-08-23,target,458.4291,496.3797,1,37.95
PETRONET.NS,2018-08-20,2018-08-31,target,224.0119,247.1844,74,1714.76
TECHM.NS,2018-03-21,2018-08-31,target,635.6176,750.4849,19,2182.48
GAIL.NS,2018-08-31,2018-09-04,stop,126.5632,121.3726,192,-996.60
M&MFIN.NS,2018-09-03,2018-09-04,stop,301.1905,292.8740,27,-224.54
MOTHERSON.NS,2018-08-27,2018-09-04,stop,55.3358,54.2610,6,-6.45
ADANIPORTS.NS,2018-08-24,2018-09-05,stop,385.7928,372.3138,7,-94.35
PIDILITIND.NS,2018-09-06,2018-09-12,stop,572.7862,554.7475,1,-18.04
GAIL.NS,2018-09-11,2018-09-17,stop,127.3167,122.1556,1,-5.16
PNB.NS,2018-09-17,2018-09-18,stop,83.3417,82.0090,2,-2.67
BAJAJHLDNG.NS,2018-09-05,2018-09-21,stop,3051.5250,2992.6030,11,-648.14
ICICIBANK.NS,2018-09-21,2018-09-24,stop,324.8624,316.8000,4,-32.25
PIDILITIND.NS,2018-09-21,2018-09-24,stop,571.9108,553.8729,55,-992.08
SAIL.NS,2018-09-21,2018-09-24,stop,79.4397,76.0000,2,-6.88
GAIL.NS,2018-09-19,2018-09-25,stop,126.1630,124.1379,1,-2.03
COALINDIA.NS,2018-09-25,2018-09-26,stop,284.1420,275.5122,1,-8.63
TATASTEEL.NS,2018-09-26,2018-10-01,stop,60.9305,57.4713,4,-13.84
RELIANCE.NS,2018-09-25,2018-10-03,stop,567.1240,550.3815,56,-937.58
CIPLA.NS,2018-10-03,2018-10-04,stop,659.3295,643.1783,7,-113.06
ONGC.NS,2018-09-14,2018-10-04,stop,170.8854,166.1169,3,-14.31
VEDL.NS,2018-10-03,2018-10-08,stop,234.2171,225.3373,112,-994.54
DRREDDY.NS,2018-10-11,2018-10-12,stop,503.0614,490.9544,60,-726.42
WIPRO.NS,2018-10-15,2018-10-23,stop,120.0413,116.0045,247,-997.08
WIPRO.NS,2018-10-29,2018-11-05,stop,120.9980,118.1625,237,-672.01
WIPRO.NS,2018-11-07,2018-11-09,stop,122.6301,120.3523,83,-189.05
HINDALCO.NS,2018-11-05,2018-11-12,stop,244.8223,231.2343,73,-991.93
WIPRO.NS,2018-11-15,2018-11-20,stop,122.9490,120.3148,218,-574.24
SBILIFE.NS,2018-12-06,2018-12-07,stop,575.2875,564.7175,45,-475.65
CANBK.NS,2018-12-11,2018-12-18,target,49.2646,54.2296,5,24.82
PETRONET.NS,2018-12-18,2019-01-08,stop,225.9129,216.5000,1,-9.41
AXISBANK.NS,2018-12-11,2019-01-09,target,609.8048,671.9331,42,2609.39
INDUSINDBK.NS,2019-01-09,2019-01-11,stop,1588.7940,1550.2245,5,-192.85
HDFCLIFE.NS,2019-01-09,2019-01-15,stop,396.1980,389.0054,2,-14.39
WIPRO.NS,2019-01-14,2019-01-15,stop,123.7744,119.6250,4,-16.60
BPCL.NS,2019-01-15,2019-01-24,target,169.9349,179.5374,7,67.22
DRREDDY.NS,2019-01-24,2019-01-28,stop,532.2660,525.7370,2,-13.06
PETRONET.NS,2019-01-30,2019-02-04,stop,226.1130,217.9410,2,-16.34
LUPIN.NS,2019-01-29,2019-02-05,stop,871.0853,843.8778,1,-27.21
OFSS.NS,2019-01-11,2019-02-07,target,3648.8235,3928.3296,2,559.01
ICICIGI.NS,2019-02-07,2019-02-11,stop,908.3540,867.0000,8,-330.83
PFC.NS,2019-02-07,2019-02-11,stop,82.6813,80.0400,7,-18.49
NESTLEIND.NS,2019-01-09,2019-02-12,stop,562.2810,534.2328,35,-981.69
PETRONET.NS,2019-02-11,2019-02-14,stop,226.3131,220.1000,33,-205.03
HDFCBANK.NS,2019-02-12,2019-02-15,stop,536.5056,526.3991,34,-343.62
RECLTD.NS,2019-02-14,2019-02-15,stop,92.2961,89.3553,84,-247.03
DRREDDY.NS,2019-02-18,2019-02-19,stop,535.2575,516.7900,47,-867.97
KOTAKBANK.NS,2019-02-05,2019-02-22,stop,255.2000,248.8755,5,-31.62
IDFCFIRSTB.NS,2019-02-22,2019-02-26,stop,45.4727,44.7776,27,-18.77
PFC.NS,2019-02-19,2019-03-05,target,84.0820,92.0723,292,2333.17
INDUSTOWER.NS,2019-03-06,2019-03-11,target,297.1485,317.0785,32,637.76
DABUR.NS,2019-03-11,2019-03-12,target,435.7678,453.9089,23,417.25
DABUR.NS,2019-03-12,2019-03-15,stop,448.0000,432.4837,24,-372.39
BAJFINANCE.NS,2019-02-27,2019-03-19,target,267.9339,296.1575,4,112.89
TECHM.NS,2019-03-15,2019-03-26,stop,795.3975,774.6125,13,-270.20
CIPLA.NS,2019-03-27,2019-03-28,stop,532.7663,525.3000,19,-141.86
IDFCFIRSTB.NS,2019-03-05,2019-04-01,target,47.9000,56.8113,360,3208.08
MOTHERSON.NS,2019-04-16,2019-04-23,stop,42.5399,40.8255,3,-5.14
DRREDDY.NS,2019-03-19,2019-04-25,target,539.0194,577.8465,2,77.65
SUNPHARMA.NS,2019-04-25,2019-04-30,stop,472.6362,452.7735,2,-39.73
JSWSTEEL.NS,2019-04-30,2019-05-08,stop,299.1495,285.9570,3,-39.58
IOC.NS,2019-04-25,2019-05-09,stop,102.8180,100.2499,3,-7.70
PETRONET.NS,2019-05-08,2019-05-09,stop,239.1195,234.4327,3,-14.06
MARICO.NS,2019-05-10,2019-05-13,stop,357.6287,349.9749,1,-7.65
ITC.NS,2019-05-13,2019-05-14,stop,290.2714,280.2083,1,-10.06
RBLBANK.NS,2019-05-10,2019-05-14,stop,664.5321,647.9758,1,-16.56
BAJAJFINSV.NS,2019-05-15,2019-05-20,target,742.1709,811.9161,1,69.75
SBIN.NS,2019-05-15,2019-05-23,target,316.9084,358.7716,1,41.86
BHARTIARTL.NS,2019-04-01,2019-05-24,target,300.9298,349.3998,68,3295.96
DIVISLAB.NS,2019-05-24,2019-05-27,stop,1744.8720,1691.1540,1,-53.72
ICICIPRULI.NS,2019-05-24,2019-06-03,target,363.1815,402.5829,1,39.40
GODREJPROP.NS,2019-05-27,2019-06-06,stop,898.1489,846.0268,2,-104.24
BANKBARODA.NS,2019-05-22,2019-06-07,stop,127.3637,121.9390,1,-5.42
CIPLA.NS,2019-05-24,2019-06-07,stop,569.2000,543.4781,38,-977.43
PETRONET.NS,2019-05-23,2019-06-07,stop,241.5707,235.4822,1,-6.09
CIPLA.NS,2019-06-11,2019-06-17,stop,562.8813,549.7250,1,-13.16
IOC.NS,2019-05-28,2019-06-17,stop,108.6209,103.5482,1,-5.07
INFY.NS,2019-06-10,2019-06-27,stop,751.2755,728.6355,30,-679.20
ULTRACEMCO.NS,2019-06-27,2019-06-28,stop,4649.2234,4553.7220,4,-382.01
BPCL.NS,2019-06-27,2019-07-01,stop,197.3987,189.4053,16,-127.89
GODREJCP.NS,2019-07-01,2019-07-02,stop,673.8868,665.6170,5,-41.35
HCLTECH.NS,2019-03-28,2019-07-05,stop,528.4391,509.7450,19,-355.19
SBILIFE.NS,2019-05-20,2019-07-05,target,649.9248,767.1158,1,117.19
AUBANK.NS,2019-06-21,2019-07-08,stop,348.6742,332.6336,2,-32.08
GODREJCP.NS,2019-07-02,2019-07-08,stop,674.2370,661.6690,5,-62.84
HINDUNILVR.NS,2019-06-28,2019-07-08,stop,1788.4438,1759.3699,10,-290.74
IOC.NS,2019-07-05,2019-07-08,stop,105.0000,100.6000,100,-440.00
BANKBARODA.NS,2019-07-10,2019-07-15,stop,126.7500,122.6886,246,-999.10
FEDERALBNK.NS,2019-07-15,2019-07-16,stop,106.9535,104.5477,1,-2.41
NHPC.NS,2019-07-16,2019-07-17,stop,24.4122,23.9880,6,-2.55
CANBK.NS,2019-07-10,2019-07-19,stop,55.4077,53.2634,8,-17.15
KOTAKBANK.NS,2019-07-15,2019-07-22,stop,298.9094,294.2628,43,-199.80
HINDALCO.NS,2019-07-22,2019-07-24,stop,204.3021,198.0010,2,-12.60
ASIANPAINT.NS,2019-07-22,2019-07-26,target,1405.5524,1513.1429,9,968.31
GODREJPROP.NS,2019-07-26,2019-08-02,stop,948.3740,926.0000,14,-313.24
ICICIPRULI.NS,2019-07-15,2019-08-14,stop,390.5952,367.9160,44,-997.89
LUPIN.NS,2019-07-26,2019-08-14,stop,778.0889,736.1817,1,-41.91
TCS.NS,2019-08-05,2019-08-16,stop,2211.1050,2164.4172,5,-233.44
TCS.NS,2019-08-16,2019-08-19,stop,2241.3999,2166.3162,12,-901.00
KOTAKBANK.NS,2019-08-19,2019-08-22,stop,301.4506,295.3523,87,-530.56
BHARTIARTL.NS,2019-08-16,2019-08-26,stop,357.3232,340.7291,2,-33.19
BHARTIARTL.NS,2019-08-26,2019-08-27,stop,352.5111,343.8686,74,-639.54
KOTAKBANK.NS,2019-08-26,2019-08-27,stop,303.7118,299.0504,1,-4.66
TATACONSUM.NS,2019-08-06,2019-09-18,stop,269.8849,254.2728,7,-109.28
ICICIGI.NS,2019-09-18,2019-09-20,target,1148.9742,1202.1442,1,53.17
