symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
PIDILITIND.NS,2016-10-28,2016-11-01,stop,359.1088,354.6451,2,-9.64
MOTHERSON.NS,2016-10-28,2016-11-02,stop,40.4705,39.0127,2,-2.99
PIDILITIND.NS,2016-11-01,2016-11-02,stop,362.8814,354.6950,2,-17.09
KOTAKBANK.NS,2016-11-03,2016-11-04,stop,161.3913,159.0209,4,-10.12
ZYDUSLIFE.NS,2016-10-28,2016-11-04,stop,410.2099,388.6111,46,-1011.92
KOTAKBANK.NS,2016-11-04,2016-11-08,stop,162.3522,159.2406,4,-13.09
OIL.NS,2016-11-08,2016-11-09,stop,137.1371,133.2334,135,-545.25
SAIL.NS,2016-10-21,2016-11-09,stop,49.7998,46.0270,25,-95.52
IDFCFIRSTB.NS,2016-11-11,2016-11-15,stop,75.4254,73.3266,1,-2.17
RECLTD.NS,2016-11-09,2016-11-15,stop,96.2086,93.6188,199,-534.26
OIL.NS,2016-11-16,2016-11-17,stop,137.6376,135.4978,135,-307.31
CANBK.NS,2016-11-16,2016-11-21,stop,62.7503,59.9528,1,-2.86
RECLTD.NS,2016-11-18,2016-11-21,stop,99.4744,94.5928,184,-916.06
HINDZINC.NS,2016-11-21,2016-11-24,target,251.6014,277.9285,69,1798.30
BEL.NS,2016-11-23,2016-11-30,target,39.6942,43.3639,2,7.26
ALKEM.NS,2016-11-24,2016-12-01,stop,1721.4201,1668.3304,11,-602.63
CANBK.NS,2016-12-01,2016-12-02,stop,62.4951,60.3415,2,-4.43
GAIL.NS,2016-11-30,2016-12-15,stop,81.0030,78.0813,1,-3.00
RECLTD.NS,2016-11-25,2016-12-15,stop,101.2387,95.8396,2,-11.00
PETRONET.NS,2016-12-01,2016-12-21,stop,196.5982,185.3145,89,-1021.24
NHPC.NS,2016-12-16,2016-12-22,stop,27.1271,26.3736,10,-7.80
TATASTEEL.NS,2016-11-29,2016-12-22,stop,39.5583,37.8334,1,-1.76
GAIL.NS,2016-12-21,2016-12-23,stop,81.1749,79.4206,203,-372.43
NMDC.NS,2016-12-06,2016-12-26,stop,31.7224,30.5486,4,-4.82
OIL.NS,2016-12-01,2017-01-02,target,142.2378,152.7544,5,51.85
NHPC.NS,2017-01-03,2017-01-12,target,27.0135,29.6666,30,78.74
TECHM.NS,2017-01-12,2017-01-20,stop,478.9286,468.5311,1,-10.87
NHPC.NS,2017-01-25,2017-01-27,target,27.9640,29.2958,5,6.52
NTPC.NS,2016-12-26,2017-01-27,target,135.0099,146.8561,122,1428.04
IDEA.NS,2017-01-27,2017-01-30,target,46.4147,53.1716,1,6.71
ONGC.NS,2017-01-20,2017-02-07,stop,201.6515,196.6532,2,-10.39
BHARTIARTL.NS,2017-01-27,2017-02-20,target,295.4570,338.5784,61,2611.07
BPCL.NS,2017-02-20,2017-03-01,stop,228.0445,221.4617,90,-612.68
ASHOKLEY.NS,2017-03-01,2017-03-02,stop,45.7479,44.4305,4,-5.45
M&MFIN.NS,2017-03-06,2017-03-07,stop,177.4496,173.9555,1,-3.67
PFC.NS,2017-02-21,2017-03-09,stop,107.5738,104.8151,1,-2.86
WIPRO.NS,2017-02-13,2017-03-14,target,88.6261,93.9609,1,5.24
BEL.NS,2017-03-07,2017-03-16,target,46.6900,50.2507,4,14.05
ASHOKLEY.NS,2017-03-14,2017-03-20,stop,46.5232,44.9550,2,-3.23
NHPC.NS,2017-03-10,2017-03-27,target,30.0801,31.5537,4,5.77
MOTHERSON.NS,2017-02-02,2017-03-29,target,41.0600,46.4272,1,5.32
TATASTEEL.NS,2017-03-29,2017-03-30,stop,46.0298,45.4001,1,-0.68
BEL.NS,2017-03-27,2017-03-30,stop,47.8357,46.5443,2,-2.68
TATASTEEL.NS,2017-03-30,2017-03-31,stop,46.2444,45.7094,1,-0.58
GAIL.NS,2017-03-23,2017-04-07,target,93.0430,97.1650,1,4.03
TATASTEEL.NS,2017-04-03,2017-04-12,stop,46.3398,45.5952,3,-2.37
PETRONET.NS,2017-03-16,2017-04-18,target,196.3962,221.7114,1,25.11
POWERGRID.NS,2017-01-12,2017-04-19,target,107.7702,118.8564,3,32.92
GAIL.NS,2017-04-17,2017-04-20,target,96.2087,102.8736,1,6.57
TATAPOWER.NS,2017-04-19,2017-04-20,stop,86.3863,84.0159,7,-17.19
NESTLEIND.NS,2017-04-20,2017-04-21,stop,318.8686,315.2970,2,-7.78
MARICO.NS,2017-02-08,2017-04-26,target,272.7863,325.0948,1,52.01
IOC.NS,2017-04-07,2017-04-27,target,130.6305,148.0311,1,17.26
WIPRO.NS,2017-04-26,2017-04-27,stop,94.8010,92.5600,3,-7.00
NHPC.NS,2017-04-21,2017-05-09,stop,31.6316,30.9690,22,-15.27
NESTLEIND.NS,2017-04-27,2017-05-10,target,322.6112,346.7537,1,23.81
NHPC.NS,2017-05-09,2017-05-10,stop,31.6817,31.1344,23,-13.31
ITC.NS,2017-03-01,2017-05-19,target,256.3917,284.4712,77,2141.30
RELIANCE.NS,2017-05-10,2017-05-19,stop,305.2654,301.4852,3,-12.25
SUZLON.NS,2017-05-18,2017-05-22,target,18.3826,20.3742,8,15.78
NESTLEIND.NS,2017-05-19,2017-05-24,stop,329.5293,324.8749,69,-343.73
WIPRO.NS,2017-05-08,2017-05-24,target,94.0878,99.1740,1,4.99
UPL.NS,2017-05-24,2017-06-20,target,529.1955,594.2689,42,2709.49
BHARTIARTL.NS,2017-06-20,2017-06-22,stop,332.6710,327.0544,75,-445.99
BHARTIARTL.NS,2017-06-22,2017-06-23,stop,332.1749,328.1798,73,-315.74
HCLTECH.NS,2017-06-23,2017-06-27,stop,427.9526,421.0786,56,-408.72
HCLTECH.NS,2017-06-27,2017-06-28,stop,429.4291,419.0404,55,-594.71
PETRONET.NS,2017-05-25,2017-07-03,stop,217.4423,211.3635,2,-12.59
NHPC.NS,2017-07-14,2017-07-17,stop,32.1321,31.3686,3,-2.39
BHARTIARTL.NS,2017-06-28,2017-07-18,target,339.1215,374.3162,68,2368.99
BAJFINANCE.NS,2017-06-29,2017-07-20,target,137.9689,160.2446,1,22.13
