ticker,entry_date,exit_date,entry_price,exit_price,return_pct,days_held,action,exit_reason
GRASIM.NS,2021-01-27,2021-04-15,1033.38,1352.98,30.93,78.0,,signal
HCLTECH.NS,2021-04-06,2021-04-16,833.44,802.16,-3.75,10.0,,signal
INFY.NS,2021-04-06,2021-04-19,1252.7,1179.63,-5.83,13.0,,signal
ADANIPORTS.NS,2021-04-07,2021-04-22,831.9,669.31,-19.54,15.0,,signal
JSWSTEEL.NS,2021-03-22,2021-05-28,417.46,660.55,58.23,67.0,,signal
HINDALCO.NS,2021-05-07,2021-06-10,376.38,372.66,-0.99,34.0,,signal
BAJAJFINSV.NS,2021-04-30,2021-07-05,1097.53,1177.25,7.26,66.0,,signal
BAJFINANCE.NS,2021-04-30,2021-07-22,524.07,581.82,11.02,83.0,,signal
SBIN.NS,2021-05-28,2021-07-23,390.2,386.85,-0.86,56.0,,signal
GRASIM.NS,2021-07-14,2021-08-09,1530.24,1500.61,-1.94,26.0,,signal
TATASTEEL.NS,2021-04-30,2021-08-24,88.15,121.64,37.98,116.0,,signal
HINDALCO.NS,2021-07-28,2021-08-24,404.36,403.27,-0.27,27.0,,signal
INFY.NS,2021-06-21,2021-09-13,1328.5,1497.57,12.73,84.0,,signal
TECHM.NS,2021-08-13,2021-09-30,1189.45,1196.26,0.57,48.0,,signal
BAJAJFINSV.NS,2021-07-27,2021-10-29,1350.41,1795.17,32.94,94.0,,signal
COALINDIA.NS,2022-08-11,2022-09-26,169.25,165.5,-2.21,46.0,,signal
M&M.NS,2022-08-02,2022-09-27,1206.27,1211.05,0.4,56.0,,signal
NTPC.NS,2022-08-18,2022-09-27,145.09,143.25,-1.27,40.0,,signal
EICHERMOT.NS,2022-08-17,2022-10-10,3224.55,3342.36,3.65,54.0,,signal
ITC.NS,2022-08-03,2022-10-12,263.79,278.25,5.48,70.0,,signal
CIPLA.NS,2022-10-27,2022-11-10,1138.62,1099.74,-3.41,14.0,,signal
NTPC.NS,2022-11-02,2022-11-15,163.47,154.84,-5.28,13.0,,signal
COALINDIA.NS,2022-11-10,2022-11-22,193.17,182.21,-5.67,12.0,,signal
ICICIBANK.NS,2022-12-01,2022-12-08,932.9,902.65,-3.24,7.0,,signal
SUNPHARMA.NS,2022-10-28,2022-12-09,966.93,946.47,-2.12,42.0,,signal
ADANIENT.NS,2022-11-02,2022-12-23,3575.1,3816.76,6.76,51.0,,signal
LT.NS,2022-12-09,2022-12-26,2107.24,1995.22,-5.32,17.0,,signal
M&M.NS,2023-01-10,2023-02-21,1277.22,1320.1,3.36,42.0,,signal
BRITANNIA.NS,2023-02-03,2023-02-22,4397.02,4315.6,-1.85,19.0,,signal
ITC.NS,2023-02-24,2023-03-21,335.46,326.67,-2.62,25.0,,signal
NTPC.NS,2023-03-09,2023-03-24,164.51,161.56,-1.79,15.0,,signal
HDFCBANK.NS,2023-04-10,2023-05-09,800.3,793.88,-0.8,29.0,,signal
LT.NS,2023-05-02,2023-05-15,2306.69,2158.66,-6.42,13.0,,signal
